id,age,tissue,num_sites,ave depth,ave methylation,ave methylation > 2 depth,ave methylation > 5 depth
GSM2465674_M0520522,14wk,Heart,4719569,26.47882253654942,38.26609666247018,34.15228460290477,34.95185343791247
GSM2465658_M0420525,14wk,Heart,4650887,12.917845133627198,39.01079795324006,34.89698685794167,36.52976300127873
GSM2465673_M0520522,14wk,Cortex,3993331,12.758076653300215,37.903836963333475,36.61092555093757,37.84601816424676
GSM2465676_M0520522,14wk,Lung,3833871,12.380395949681144,36.179556709564075,35.632827271653234,38.10397268158782
GSM2465657_M0420525,14wk,Cortex,4205076,14.687372118839232,38.739642915142646,36.72460792519212,38.331880012762085
GSM2465663_M0420527,14wk,Liver,4239585,10.79406734385559,38.554163934595685,35.594224393097356,36.76970110769502
GSM2465660_M0420525,14wk,Lung,4143370,14.824188764218498,36.76577012432491,34.756768620378445,36.027765444921954
GSM2465661_M0420527,14wk,Cortex,4353542,19.095014817819607,38.545852514027246,36.2333132873141,37.38867509341254
GSM2465675_M0520522,14wk,Liver,3984791,9.920882927109602,37.1021077758351,35.71396022545843,37.235556482439875
GSM2465664_M0420527,14wk,Lung,4017025,14.191690367871747,36.44527267850038,35.236356667405005,37.0217866016167
GSM2465659_M0420525,14wk,Liver,4251425,13.18586168167144,38.163835640426086,35.63230824655207,37.07957195275291
GSM2465662_M0420527,14wk,Heart,4012254,11.20358955340315,36.18213938453683,34.5166668462977,35.78726907841778
GSM2465655_M03NB,1wk,Heart,3864703,14.244775859878494,34.84356752314821,34.21940714215592,36.35959227102816
GSM2465654_M03NB,1wk,Cortex,4102320,15.945711207316835,36.75914947667562,35.023106518244106,36.28329775765335
GSM2465652_M02NB,1wk,Liver,4005207,14.615568683466298,34.87319481857283,33.87277110779757,35.29057109443624
GSM2465666_M04NB,1wk,Heart,4257344,19.34130316929992,34.96465513669892,32.86815424433462,33.87603999620967
GSM2465656_M03NB,1wk,Lung,4472508,26.167893495103865,36.04164340430005,33.068822364565946,33.736718152300824
GSM2465650_M01NB,1wk,Lung,3706397,7.522344206516463,34.55735933578631,33.60167050611852,35.05859111076606
GSM2465648_M01NB,1wk,Heart,4021292,14.609888563178203,35.12076520208361,33.67477535111932,35.39238309191573
GSM2465651_M02NB,1wk,Cortex,3877028,10.207582199561108,35.92201201455081,34.84898668315531,36.031323778169636
GSM2465665_M04NB,1wk,Cortex,4353634,14.978641521083306,38.08174239306818,35.307350805404006,36.50831849177025
GSM2465668_M04NB,1wk,Lung,4873812,23.884442403605227,37.66686158748402,33.448199771210305,33.96115481514252
GSM2465653_M02NB,1wk,Lung,4085551,15.241028688664025,35.427501126471206,33.87285763571054,35.458820590753106
GSM2465647_M01NB,1wk,Cortex,3939791,9.395831403239411,36.255069832456876,34.48065905411096,35.63911506350457
GSM2465667_M04NB,1wk,Liver,4147692,13.342086635169633,36.21835219427179,34.165613974033064,35.222293733966914
GSM2465649_M01NB,1wk,Liver,3669961,7.935133643109559,34.78912103934423,34.38776649123421,36.72210996299953
GSM2465635_M00018752,27wk,Cortex,4189271,17.318347989423458,38.35511494825523,36.50681349133611,37.901619046860546
GSM2465639_M00018754,27wk,Cortex,4182114,15.63424311245461,38.88837390191353,37.26895567355109,39.11328799391025
GSM2465641_M00018754,27wk,Liver,4160734,11.820935921402329,38.1690746763108,35.667509989755054,37.29656838448493
GSM2465643_M0112371,27wk,Cortex,3980861,13.733746794977268,37.59845277941704,36.49005595561891,37.38099814089222
GSM2465671_M0512375,27wk,Liver,3555333,5.994592630282452,36.69937829004092,36.48148181845926,38.41193381978885
GSM2465645_M0112371,27wk,Liver,3596592,7.1415128543910456,37.19208512729326,37.176904436988295,41.087564233179805
GSM2465634_M00018724,27wk,Lung,4070360,12.648652944702679,37.220572146474375,35.88789138844492,38.63789498853804
GSM2465638_M00018752,27wk,Lung,4017936,11.916288860748404,37.329437851548654,36.1366459300291,38.72493016272235
GSM2465669_M0512375,27wk,Cortex,4136638,15.853547010881783,37.60174431088733,35.81860771413373,35.867736252401876
GSM2465633_M00018724,27wk,Liver,4748562,11.23603672016918,42.37965655582677,36.123859993567486,36.826557191128906
GSM2465672_M0512375,27wk,Lung,3911071,11.994986028123755,36.29140888216373,35.30940606178288,37.20660084338301
GSM2465670_M0512375,27wk,Heart,3971368,16.665973034984418,36.07216440882456,34.944992081871995,36.63678454802354
GSM2465631_M00018724,27wk,Cortex,4086565,15.372908542993933,38.63342400674677,37.27379395424051,39.31259706571764
GSM2465646_M0112371,27wk,Lung,3778821,9.500211309294619,36.92738084901164,36.563379179807654,39.890075624730805
GSM2465636_M00018752,27wk,Heart,4086515,12.402298046134664,35.716552586596265,34.1136771335908,35.16552962841587
GSM2465640_M00018754,27wk,Heart,3906528,10.429799044061632,35.50734913620721,34.50159552829902,35.71376188262043
GSM2465642_M00018754,27wk,Lung,3964959,12.81470148871653,36.12406790010943,35.174016686363004,36.82359459689647
GSM2465644_M0112371,27wk,Heart,4245053,14.198696694717357,36.431059166598466,34.28987152109255,35.49646504015935
GSM2465637_M00018752,27wk,Liver,3681091,4.77093774644528,38.8857966277873,36.96735584001693,41.465176837779836
GSM2465632_M00018724,27wk,Heart,3963909,10.840486751840166,36.59548791963112,35.6946365206338,38.63415515562258
GSM2465619_M00018362,41wk,Cortex,4121662,14.977096375200102,38.71577219817293,37.048570946535825,38.04565780154863
GSM2465627_M00018381,41wk,Cortex,4165468,15.123177515707718,37.68155904724308,36.10274827983781,37.03438797060552
GSM2465628_M00018381,41wk,Heart,3917926,12.73110033216554,35.657431798638896,34.545901107311416,35.69014280940905
GSM2465618_M00018359,41wk,Lung,3994127,13.63118849250412,37.36512872245773,36.30336054257138,38.73844570423266
GSM2465617_M00018359,41wk,Liver,4251469,8.11405351891311,40.62513064955077,36.3826380001361,38.77573925422405
GSM2465625_M00018363,41wk,Liver,4546773,16.950071842161464,39.21650776554253,35.29017910270822,35.73828808493611
GSM2465621_M00018362,41wk,Liver,3823093,5.591819764782076,38.6108372709224,35.921887532643964,38.46112288013785
GSM2465616_M00018359,41wk,Heart,4277548,14.49822234607303,36.996101016354366,34.58471170702276,35.89151201650456
GSM2465629_M00018381,41wk,Liver,3941176,6.002234358475745,39.283385558795956,37.02729464438069,40.52324274161627
GSM2465630_M00018381,41wk,Lung,4030714,13.58965880486683,36.746635754274415,35.558433371012455,37.58264112946382
GSM2465626_M00018363,41wk,Lung,4210256,25.553272532596594,36.12774332501968,34.4699232046051,35.334317767234374
GSM2465620_M00018362,41wk,Heart,4572977,13.387098163843815,38.420206724598856,34.90190626185943,36.381227922534805
GSM2465624_M00018363,41wk,Heart,4348186,17.300112276705736,36.62972289141202,34.20918834068093,35.23278991235364
GSM2465622_M00018362,41wk,Lung,3980174,12.756364922739559,36.45503919853398,35.21399208717904,36.593347604041675
GSM2465623_M00018363,41wk,Cortex,4078447,14.662973430818152,37.68994439921813,36.1390432024842,36.96051627513135
